最终解释权 罗瑶光 浏阳德塔开源 
15116110525 20201026
MCI 管理控制增加
MCD 管理控制减少
MCU 管理控制改变
MCQ 管理控制查找
MSI 管理静态增加
MSD 管理静态减少
MSU 管理静态改变
MSQ 管理静态查找
VAI 感知分析增加
VAD 感知分析减少
VAU 感知分析改变
VAQ 感知分析查找
VOI 感知操作增加
VOD 感知操作减少
VOU 感知操作改变
VOQ 感知操作查找
VPI 感知处理增加
VPD 感知处理减少
VPU 感知处理改变
VPQ 感知处理查找
VMI 感知管理增加
VMD 感知管理减少
VMU 感知管理改变
VMQ 感知管理查找
EAI 执行分析增加
EAD 执行分析减少
EAU 执行分析改变
EAQ 执行分析查找
EOI 执行操作增加
EOD 执行操作减少
EOU 执行操作改变
EOQ 执行操作查找
EPI 执行处理增加
EPD 执行处理减少
EPU 执行处理改变
EPQ 执行处理查找
EMI 执行管理增加
EMD 执行管理减少
EMU 执行管理改变
EMQ 执行管理查找
CAI 控制分析增加
CAD 控制分析减少
CAU 控制分析改变
CAQ 控制分析查找
COI 控制操作增加
COD 控制操作减少
COU 控制操作改变
COQ 控制操作查找
CPI 控制处理增加
CPD 控制处理减少
CPU 控制处理改变
CPQ 控制处理查找
CMI 控制管理增加
CMD 控制管理减少
CMU 控制管理改变
CMQ 控制管理查找
IAV 增加分析感知
IAE 增加分析执行
IAC 增加分析控制
IAS 增加分析静态
IOV 增加操作感知
IOE 增加操作执行
IOC 增加操作控制
IOS 增加操作静态
IPV 增加处理感知
IPE 增加处理执行
IPC 增加处理控制
IPS 增加处理静态
IMV 增加管理感知
IME 增加管理执行
IMC 增加管理控制
IMS 增加管理静态
DAV 减少分析感知
DAE 减少分析执行
DAC 减少分析控制
DAS 减少分析静态
DOV 减少操作感知
DOE 减少操作执行
DOC 减少操作控制
DOS 减少操作静态
DPV 减少处理感知
DPE 减少处理执行
DPC 减少处理控制
DPS 减少处理静态
DMV 减少管理感知
DME 减少管理执行
DMC 减少管理控制
DMS 减少管理静态
UAV 改变分析感知
UAE 改变分析执行
UAC 改变分析控制
UAS 改变分析静态
UOV 改变操作感知
UOE 改变操作执行
UOC 改变操作控制
UOS 改变操作静态
UPV 改变处理感知
UPE 改变处理执行
UPC 改变处理控制
UPS 改变处理静态
UMV 改变管理感知
UME 改变管理执行
UMC 改变管理控制
UMS 改变管理静态
QAV 查找分析感知
QAE 查找分析执行
QAC 查找分析控制
QAS 查找分析静态
QOV 查找操作感知
QOE 查找操作执行
QOC 查找操作控制
QOS 查找操作静态
QPV 查找处理感知
QPE 查找处理执行
QPC 查找处理控制
QPS 查找处理静态
QMV 查找管理感知
QME 查找管理执行
QMC 查找管理控制
QMS 查找管理静态
AIV 分析增加感知
ADV 分析减少感知
AUV 分析改变感知
AQV 分析查找感知
AIE 分析增加执行
ADE 分析减少执行
AUE 分析改变执行
AQE 分析查找执行
AIC 分析增加控制
ADC 分析减少控制
AUC 分析改变控制
AQC 分析查找控制
AIS 分析增加静态
ADS 分析减少静态
AUS 分析改变静态
AQS 分析查找静态
OIV 操作增加感知
ODV 操作减少感知
OUV 操作改变感知
OQV 操作查找感知
OIE 操作增加执行
ODE 操作减少执行
OUE 操作改变执行
OQE 操作查找执行
OIC 操作增加控制
ODC 操作减少控制
OUC 操作改变控制
OQC 操作查找控制
OIS 操作增加静态
ODS 操作减少静态
OUS 操作改变静态
OQS 操作查找静态
PIV 处理增加感知
PDV 处理减少感知
PUV 处理改变感知
PQV 处理查找感知
PIE 处理增加执行
PDE 处理减少执行
PUE 处理改变执行
PQE 处理查找执行
PIC 处理增加控制
PDC 处理减少控制
PUC 处理改变控制
PQC 处理查找控制
PIS 处理增加静态
PDS 处理减少静态
PUS 处理改变静态
PQS 处理查找静态
MIV 管理增加感知
MDV 管理减少感知
MUV 管理改变感知
MQV 管理查找感知
MIE 管理增加执行
MDE 管理减少执行
MUE 管理改变执行
MQE 管理查找执行
MIC 管理增加控制
MDC 管理减少控制
MUC 管理改变控制
MQC 管理查找控制
MIS 管理增加静态
MDS 管理减少静态
MUS 管理改变静态
MQS 管理查找静态
VIA 感知增加分析
VDA 感知减少分析
VUA 感知改变分析
VQA 感知查找分析
VIO 感知增加操作
VDO 感知减少操作
VUO 感知改变操作
VQO 感知查找操作
VIP 感知增加处理
VDP 感知减少处理
VUP 感知改变处理
VQP 感知查找处理
VIM 感知增加管理
VDM 感知减少管理
VUM 感知改变管理
VQM 感知查找管理
EIA 执行增加分析
EDA 执行减少分析
EUA 执行改变分析
EQA 执行查找分析
EIO 执行增加操作
EDO 执行减少操作
EUO 执行改变操作
EQO 执行查找操作
EIP 执行增加处理
EDP 执行减少处理
EUP 执行改变处理
EQP 执行查找处理
EIM 执行增加管理
EDM 执行减少管理
EUM 执行改变管理
EQM 执行查找管理
CIA 控制增加分析
CDA 控制减少分析
CUA 控制改变分析
CQA 控制查找分析
CIO 控制增加操作
CDO 控制减少操作
CUO 控制改变操作
CQO 控制查找操作
CIP 控制增加处理
CDP 控制减少处理
CUP 控制改变处理
CQP 控制查找处理
CIM 控制增加管理
CDM 控制减少管理
CUM 控制改变管理
CQM 控制查找管理
IVA 增加感知分析
IEA 增加执行分析
ICA 增加控制分析
ISA 增加静态分析
IVO 增加感知操作
IEO 增加执行操作
ICO 增加控制操作
ISO 增加静态操作
IVP 增加感知处理
IEP 增加执行处理
ICP 增加控制处理
ISP 增加静态处理
IVM 增加感知管理
IEM 增加执行管理
ICM 增加控制管理
ISM 增加静态管理
DVA 减少感知分析
DEA 减少执行分析
DCA 减少控制分析
DSA 减少静态分析
DVO 减少感知操作
DEO 减少执行操作
DCO 减少控制操作
DSO 减少静态操作
DVP 减少感知处理
DEP 减少执行处理
DCP 减少控制处理
DSP 减少静态处理
DVM 减少感知管理
DEM 减少执行管理
DCM 减少控制管理
DSM 减少静态管理
UVA 改变感知分析
UEA 改变执行分析
UCA 改变控制分析
USA 改变静态分析
UVO 改变感知操作
UEO 改变执行操作
UCO 改变控制操作
USO 改变静态操作
UVP 改变感知处理
UEP 改变执行处理
UCP 改变控制处理
USP 改变静态处理
UVM 改变感知管理
UEM 改变执行管理
UCM 改变控制管理
USM 改变静态管理
QVA 查找感知分析
QEA 查找执行分析
QCA 查找控制分析
QSA 查找静态分析
QVO 查找感知操作
QEO 查找执行操作
QCO 查找控制操作
QSO 查找静态操作
QVP 查找感知处理
QEP 查找执行处理
QCP 查找控制处理
QSP 查找静态处理
QVM 查找感知管理
QEM 查找执行管理
QCM 查找控制管理
QSM 查找静态管理

SAI 静态分析增加
SAD 静态分析减少
SAU 静态分析改变
SAQ 静态分析查找
SOI 静态操作增加
SOD 静态操作减少
SOU 静态操作改变
SOQ 静态操作查找
SPI 静态处理增加
SPD 静态处理减少
SPU 静态处理改变
SPQ 静态处理查找
SMI 静态管理增加
SMD 静态管理减少
SMU 静态管理改变
SMQ 静态管理查找
SIA 静态增加分析
SIO 静态增加操作
SIP 静态增加处理
SIM 静态增加管理
SDA 静态减少分析
SDO 静态减少操作
SDP 静态减少处理
SDM 静态减少管理
SUA 静态改变分析
SUO 静态改变操作
SUP 静态改变处理
SUM 静态改变管理
SQA 静态查找分析
SQO 静态查找操作
SQP 静态查找处理
SQM 静态查找管理

染色体根 VECS-AOPM-IDUQ
AVO	分析感知操作
AVP	分析感知处理
AVM	分析感知管理
OVA	操作感知分析
OVP	操作感知处理
OVM	操作感知管理
PVA	处理感知分析
PVO	处理感知操作
PVM	处理感知管理
MVA	管理感知分析
MVO	管理感知操作
MVP	管理感知处理
AEO	分析执行操作
AEP	分析执行处理
AEM	分析执行管理
OEA	操作执行分析
OEP	操作执行处理
OEM	操作执行管理
PEA	处理执行分析
PEO	处理执行操作
PEM	处理执行管理
MEA	管理执行分析
MEO	管理执行操作
MEP	管理执行处理
ACO	分析控制操作
ACP	分析控制处理
ACM	分析控制管理
OCA	操作控制分析
OCP	操作控制处理
OCM	操作控制管理
PCA	处理控制分析
PCO	处理控制操作
PCM	处理控制管理
MCA	管理控制分析
MCO	管理控制操作
MCP	管理控制处理
ASO	分析静态操作
ASP	分析静态处理
ASM	分析静态管理
OSA	操作静态分析
OSP	操作静态处理
OSM	操作静态管理
PSA	处理静态分析
PSO	处理静态操作
PSM	处理静态管理
MSA	管理静态分析
MSO	管理静态操作
MSP	管理静态处理
IVD	增加感知减少
IVU	增加感知改变
IVQ	增加感知查找
DVI	减少感知增加
DVU	减少感知改变
DVQ	减少感知查找
UVI	改变感知增加
UVD	改变感知减少
UVQ	改变感知查找
MVI	管理感知增加
MVD	管理感知减少
MVU	管理感知改变
IED	增加执行减少
IEU	增加执行改变
IEQ	增加执行查找
DEI	减少执行增加
DEU	减少执行改变
DEQ	减少执行查找
UEI	改变执行增加
UED	改变执行减少
UEQ	改变执行查找
QEI	查找执行增加
QED	查找执行减少
QEU	查找执行改变
ICD	增加控制减少
ICU	增加控制改变
ICQ	增加控制查找
DCI	减少控制增加
DCU	减少控制改变
DCQ	减少控制查找
UCI	改变控制增加
UCD	改变控制减少
UCQ	改变控制查找
QCI	查找控制增加
QCD	查找控制减少
QCU	查找控制改变
ISD	增加静态减少
ISU	增加静态改变
ISQ	增加静态查找
DSI	减少静态增加
DSU	减少静态改变
DSQ	减少静态查找
USI	改变静态增加
USD	改变静态减少
USQ	改变静态查找
QSI	查找静态增加
QSD	查找静态减少
QSU	查找静态改变
IAD	增加分析减少
IAU	增加分析改变
IAQ	增加分析查找
DAI	减少分析增加
DAU	减少分析改变
DAQ	减少分析查找
UAI	改变分析增加
UAD	改变分析减少
UAQ	改变分析查找
MAI	管理分析增加
MAD	管理分析减少
MAU	管理分析改变
IOD	增加操作减少
IOU	增加操作改变
IOQ	增加操作查找
DOI	减少操作增加
DOU	减少操作改变
DOQ	减少操作查找
UOI	改变操作增加
UOD	改变操作减少
UOQ	改变操作查找
QOI	查找操作增加
QOD	查找操作减少
QOU	查找操作改变
IPD	增加处理减少
IPU	增加处理改变
IPQ	增加处理查找
DPI	减少处理增加
DPU	减少处理改变
DPQ	减少处理查找
UPI	改变处理增加
UPD	改变处理减少
UPQ	改变处理查找
QPI	查找处理增加
QPD	查找处理减少
QPU	查找处理改变
IMD	增加管理减少
IMU	增加管理改变
IMQ	增加管理查找
DMI	减少管理增加
DMU	减少管理改变
DMQ	减少管理查找
UMI	改变管理增加
UMD	改变管理减少
UMQ	改变管理查找
QMI	查找管理增加
QMD	查找管理减少
QMU	查找管理改变
AIO	分析增加操作
AIP	分析增加处理
AIM	分析增加管理
OIA	操作增加分析
OIP	操作增加处理
OIM	操作增加管理
PIA	处理增加分析
PIO	处理增加操作
PIM	处理增加管理
MIA	管理增加分析
MIO	管理增加操作
MIP	管理增加处理
ADO	分析减少操作
ADP	分析减少处理
ADM	分析减少管理
ODA	操作减少分析
ODP	操作减少处理
ODM	操作减少管理
PDA	处理减少分析
PDO	处理减少操作
PDM	处理减少管理
MDA	管理减少分析
MDO	管理减少操作
MDP	管理减少处理
AUO	分析改变操作
AUP	分析改变处理
AUM	分析改变管理
OUA	操作改变分析
OUP	操作改变处理
OUM	操作改变管理
PUA	处理改变分析
PUO	处理改变操作
PUM	处理改变管理
MUA	管理改变分析
MUO	管理改变操作
MUP	管理改变处理
AQO	分析查找操作
AQP	分析查找处理
AQM	分析查找管理
OQA	操作查找分析
OQP	操作查找处理
OQM	操作查找管理
PQA	处理查找分析
PQO	处理查找操作
PQM	处理查找管理
MQA	管理查找分析
MQO	管理查找操作
MQP	管理查找处理
VAE	感知分析执行
VAC	感知分析控制
VAS	感知分析静态
EAV	执行分析感知
EAC	执行分析控制
EAS	执行分析静态
CAV	控制分析感知
CAE	控制分析执行
CAS	控制分析静态
SAV	静态分析感知
SAE	静态分析执行
SAC	静态分析控制
VOE	感知操作执行
VOC	感知操作控制
VOS	感知操作静态
EOV	执行操作感知
EOC	执行操作控制
EOS	执行操作静态
COV	控制操作感知
COE	控制操作执行
COS	控制操作静态
SOV	静态操作感知
SOE	静态操作执行
SOC	静态操作控制
VPE	感知处理执行
VPC	感知处理控制
VPS	感知处理静态
EPV	执行处理感知
EPC	执行处理控制
EPS	执行处理静态
CPV	控制处理感知
CPE	控制处理执行
CPS	控制处理静态
SPV	静态处理感知
SPE	静态处理执行
SPC	静态处理控制
VME	感知管理执行
VMC	感知管理控制
VMS	感知管理静态
EMV	执行管理感知
EMC	执行管理控制
EMS	执行管理静态
CMV	控制管理感知
CME	控制管理执行
CMS	控制管理静态
SMV	静态管理感知
SME	静态管理执行
SMC	静态管理控制
VIE	感知增加执行
VIC	感知增加控制
VIS	感知增加静态
EIV	执行增加感知
EIC	执行增加控制
EIS	执行增加静态
CIV	控制增加感知
CIE	控制增加执行
CIS	控制增加静态
SIV	静态增加感知
SIE	静态增加执行
SIC	静态增加控制
VDE	感知减少执行
VDC	感知减少控制
VDS	感知减少静态
EDV	执行减少感知
EDC	执行减少控制
EDS	执行减少静态
CDV	控制减少感知
CDE	控制减少执行
CDS	控制减少静态
SDV	静态减少感知
SDE	静态减少执行
SDC	静态减少控制
VUE	感知改变执行
VUC	感知改变控制
VUS	感知改变静态
EUV	执行改变感知
EUE	执行改变执行
EUS	执行改变静态
CUV	控制改变感知
CUE	控制改变执行
CUS	控制改变静态
SUV	静态改变感知
SUE	静态改变执行
SUC	静态改变控制
VQE	感知查找执行
VQC	感知查找控制
VQS	感知查找静态
EQV	执行查找感知
EQC	执行查找控制
EQS	执行查找静态
CQV	控制查找感知
CQE	控制查找执行
CQS	控制查找静态
SQV	静态查找感知
SQE	静态查找执行
SQC	静态查找控制

染色体同元根  VECS-AOPM-IDUQ
OAP	操作分析处理
OAM	操作分析管理
PAO	处理分析操作
PAM	处理分析管理
MAP	管理分析处理
MAO	管理分析操作
AOP	分析操作处理
AOM	分析操作管理
POA	处理操作分析
POM	处理操作管理
MOA	管理操作分析
MOP	管理操作处理
APO	分析处理操作
APM	分析处理管理
OPA	操作处理分析
OPM	操作处理管理
MPA	管理处理分析
MPO	管理处理操作
AMP	分析管理处理
AMO	分析管理操作
OMA	操作管理分析
OMP	操作管理处理
PMA	处理管理分析
PMO	处理管理操作
EVC	执行感知控制
EVS	执行感知静态
CVE	控制感知执行
CVS	控制感知静态
SVE	静态感知执行
SVS	静态感知静态
VEC	感知执行控制
VES	感知执行静态
CEV	控制执行感知
CES	控制执行静态
SEV	静态执行感知
SEC	静态执行控制
VCE	感知控制执行
VCS	感知控制静态
ECV	执行控制感知
ECS	执行控制静态
SCV	静态控制感知
SCE	静态控制执行
VSE	感知静态执行
VSC	感知静态控制
ESV	执行静态感知
ESC	执行静态控制
CSV	控制静态感知
CSE	控制静态执行
DIU	减少增加改变
DIQ	减少增加查找
UID	改变增加减少
UIQ	改变增加查找
QID	查找增加减少
QIU	查找增加改变
IDU	增加减少改变
IDQ	增加减少查找
UDI	改变减少增加
UDQ	改变减少查找
QDI	查找减少增加
QDU	查找减少改变
IUD	增加改变减少
IUQ	增加改变查找
DUI	减少改变增加
DUQ	减少改变查找
QUI	查找改变增加
QUD	查找改变减少
IQD	增加查找减少
IQU	增加查找改变
DQI	减少查找增加
DQU	减少查找改变
UQI	改变查找增加
UQD	改变查找减少
	
连元基(本不添加的,因为2小时前 进行 新冠苷 公式推导出 IEI IPI CDD IEE物质(deta oss ppt 11.31),于是 刚添加.2020-10-28 5:15 D8+ AM)
AAA   分析分析分析
AAO   分析分析操作
AAP   分析分析处理
AAM   分析分析管理
AAV   分析分析视觉
AAE   分析分析执行
AAC   分析分析控制
AAS   分析分析静态
AAI   分析分析增加
AAD   分析分析删除
AAU   分析分析改变
AAQ   分析分析查找
AOA   分析操作分析
AOO   分析操作操作
APA   分析处理分析
APP   分析处理处理
AMA   分析管理分析
AMM   分析管理管理
AVA   分析视觉分析
AVV   分析视觉视觉
AEA   分析执行分析
AEE   分析执行执行
ACA   分析控制分析
ACC   分析控制控制
ASA   分析静态分析
ASS   分析静态静态
AIA   分析增加分析
AII   分析增加增加
ADA   分析删除分析
ADD   分析删除删除
AUA   分析改变分析
AUU   分析改变改变
AQA   分析查找分析
AQQ   分析查找查找
OAA   操作分析分析
OAO   操作分析操作
OOA   操作操作分析
OOO   操作操作操作
OOP   操作操作处理
OOM   操作操作管理
OOV   操作操作视觉
OOE   操作操作执行
OOC   操作操作控制
OOS   操作操作静态
OOI   操作操作增加
OOD   操作操作删除
OOU   操作操作改变
OOQ   操作操作查找
OPO   操作处理操作
OPP   操作处理处理
OMO   操作管理操作
OMM   操作管理管理
OVO   操作视觉操作
OVV   操作视觉视觉
OEO   操作执行操作
OEE   操作执行执行
OCO   操作控制操作
OCC   操作控制控制
OSO   操作静态操作
OSS   操作静态静态
OIO   操作增加操作
OII   操作增加增加
ODO   操作删除操作
ODD   操作删除删除
OUO   操作改变操作
OUU   操作改变改变
OQO   操作查找操作
OQQ   操作查找查找
PAA   处理分析分析
PAP   处理分析处理
POO   处理操作操作
POP   处理操作处理
PPA   处理处理分析
PPO   处理处理操作
PPP   处理处理处理
PPM   处理处理管理
PPV   处理处理视觉
PPE   处理处理执行
PPC   处理处理控制
PPS   处理处理静态
PPI   处理处理增加
PPD   处理处理删除
PPU   处理处理改变
PPQ   处理处理查找
PMP   处理管理处理
PMM   处理管理管理
PVP   处理视觉处理
PVV   处理视觉视觉
PEP   处理执行处理
PEE   处理执行执行
PCP   处理控制处理
PCC   处理控制控制
PSP   处理静态处理
PSS   处理静态静态
PIP   处理增加处理
PII   处理增加增加
PDP   处理删除处理
PDD   处理删除删除
PUP   处理改变处理
PUU   处理改变改变
PQP   处理查找处理
PQQ   处理查找查找
MAA   管理分析分析
MAM   管理分析管理
MOO   管理操作操作
MOM   管理操作管理
MPP   管理处理处理
MPM   管理处理管理
MMA   管理管理分析
MMO   管理管理操作
MMP   管理管理处理
MMM   管理管理管理
MMV   管理管理视觉
MME   管理管理执行
MMC   管理管理控制
MMS   管理管理静态
MMI   管理管理增加
MMD   管理管理删除
MMU   管理管理改变
MMQ   管理管理查找
MVM   管理视觉管理
MVV   管理视觉视觉
MEM   管理执行管理
MEE   管理执行执行
MCM   管理控制管理
MCC   管理控制控制
MSM   管理静态管理
MSS   管理静态静态
MIM   管理增加管理
MII   管理增加增加
MDM   管理删除管理
MDD   管理删除删除
MUM   管理改变管理
MUU   管理改变改变
MQM   管理查找管理
MQQ   管理查找查找
VAA   视觉分析分析
VAV   视觉分析视觉
VOO   视觉操作操作
VOV   视觉操作视觉
VPP   视觉处理处理
VPV   视觉处理视觉
VMM   视觉管理管理
VMV   视觉管理视觉
VVA   视觉视觉分析
VVO   视觉视觉操作
VVP   视觉视觉处理
VVM   视觉视觉管理
VVV   视觉视觉视觉
VVE   视觉视觉执行
VVC   视觉视觉控制
VVS   视觉视觉静态
VVI   视觉视觉增加
VVD   视觉视觉删除
VVU   视觉视觉改变
VVQ   视觉视觉查找
VEV   视觉执行视觉
VEE   视觉执行执行
VCV   视觉控制视觉
VCC   视觉控制控制
VSV   视觉静态视觉
VSS   视觉静态静态
VIV   视觉增加视觉
VII   视觉增加增加
VDV   视觉删除视觉
VDD   视觉删除删除
VUV   视觉改变视觉
VUU   视觉改变改变
VQV   视觉查找视觉
VQQ   视觉查找查找
EAA   执行分析分析
EAE   执行分析执行
EOO   执行操作操作
EOE   执行操作执行
EPP   执行处理处理
EPE   执行处理执行
EMM   执行管理管理
EME   执行管理执行
EVV   执行视觉视觉
EVE   执行视觉执行
EEA   执行执行分析
EEO   执行执行操作
EEP   执行执行处理
EEM   执行执行管理
EEV   执行执行视觉
EEE   执行执行执行
EEC   执行执行控制
EES   执行执行静态
EEI   执行执行增加
EED   执行执行删除
EEU   执行执行改变
EEQ   执行执行查找
ECE   执行控制执行
ECC   执行控制控制
ESE   执行静态执行
ESS   执行静态静态
EIE   执行增加执行
EII   执行增加增加
EDE   执行删除执行
EDD   执行删除删除
EUE   执行改变执行
EUU   执行改变改变
EQE   执行查找执行
EQQ   执行查找查找
CAA   控制分析分析
CAC   控制分析控制
COO   控制操作操作
COC   控制操作控制
CPP   控制处理处理
CPC   控制处理控制
CMM   控制管理管理
CMC   控制管理控制
CVV   控制视觉视觉
CVC   控制视觉控制
CEE   控制执行执行
CEC   控制执行控制
CCA   控制控制分析
CCO   控制控制操作
CCP   控制控制处理
CCM   控制控制管理
CCV   控制控制视觉
CCE   控制控制执行
CCC   控制控制控制
CCS   控制控制静态
CCI   控制控制增加
CCD   控制控制删除
CCU   控制控制改变
CCQ   控制控制查找
CSC   控制静态控制
CSS   控制静态静态
CIC   控制增加控制
CII   控制增加增加
CDC   控制删除控制
CDD   控制删除删除
CUC   控制改变控制
CUU   控制改变改变
CQC   控制查找控制
CQQ   控制查找查找
SAA   静态分析分析
SAS   静态分析静态
SOO   静态操作操作
SOS   静态操作静态
SPP   静态处理处理
SPS   静态处理静态
SMM   静态管理管理
SMS   静态管理静态
SVV   静态视觉视觉
SVS   静态视觉静态
SEE   静态执行执行
SES   静态执行静态
SCC   静态控制控制
SCS   静态控制静态
SSA   静态静态分析
SSO   静态静态操作
SSP   静态静态处理
SSM   静态静态管理
SSV   静态静态视觉
SSE   静态静态执行
SSC   静态静态控制
SSS   静态静态静态
SSI   静态静态增加
SSD   静态静态删除
SSU   静态静态改变
SSQ   静态静态查找
SIS   静态增加静态
SII   静态增加增加
SDS   静态删除静态
SDD   静态删除删除
SUS   静态改变静态
SUU   静态改变改变
SQS   静态查找静态
SQQ   静态查找查找
IAA   增加分析分析
IAI   增加分析增加
IOO   增加操作操作
IOI   增加操作增加
IPP   增加处理处理
IPI   增加处理增加
IMM   增加管理管理
IMI   增加管理增加
IVV   增加视觉视觉
IVI   增加视觉增加
IEE   增加执行执行
IEI   增加执行增加
ICC   增加控制控制
ICI   增加控制增加
ISS   增加静态静态
ISI   增加静态增加
IIA   增加增加分析
IIO   增加增加操作
IIP   增加增加处理
IIM   增加增加管理
IIV   增加增加视觉
IIE   增加增加执行
IIC   增加增加控制
IIS   增加增加静态
III   增加增加增加
IID   增加增加删除
IIU   增加增加改变
IIQ   增加增加查找
IDI   增加删除增加
IDD   增加删除删除
IUI   增加改变增加
IUU   增加改变改变
IQI   增加查找增加
IQQ   增加查找查找
DAA   删除分析分析
DAD   删除分析删除
DOO   删除操作操作
DOD   删除操作删除
DPP   删除处理处理
DPD   删除处理删除
DMM   删除管理管理
DMD   删除管理删除
DVV   删除视觉视觉
DVD   删除视觉删除
DEE   删除执行执行
DED   删除执行删除
DCC   删除控制控制
DCD   删除控制删除
DSS   删除静态静态
DSD   删除静态删除
DII   删除增加增加
DID   删除增加删除
DDA   删除删除分析
DDO   删除删除操作
DDP   删除删除处理
DDM   删除删除管理
DDV   删除删除视觉
DDE   删除删除执行
DDC   删除删除控制
DDS   删除删除静态
DDI   删除删除增加
DDD   删除删除删除
DDU   删除删除改变
DDQ   删除删除查找
DUD   删除改变删除
DUU   删除改变改变
DQD   删除查找删除
DQQ   删除查找查找
UAA   改变分析分析
UAU   改变分析改变
UOO   改变操作操作
UOU   改变操作改变
UPP   改变处理处理
UPU   改变处理改变
UMM   改变管理管理
UMU   改变管理改变
UVV   改变视觉视觉
UVU   改变视觉改变
UEE   改变执行执行
UEU   改变执行改变
UCC   改变控制控制
UCU   改变控制改变
USS   改变静态静态
USU   改变静态改变
UII   改变增加增加
UIU   改变增加改变
UDD   改变删除删除
UDU   改变删除改变
UUA   改变改变分析
UUO   改变改变操作
UUP   改变改变处理
UUM   改变改变管理
UUV   改变改变视觉
UUE   改变改变执行
UUC   改变改变控制
UUS   改变改变静态
UUI   改变改变增加
UUD   改变改变删除
UUU   改变改变改变
UUQ   改变改变查找
UQU   改变查找改变
UQQ   改变查找查找
QAA   查找分析分析
QAQ   查找分析查找
QOO   查找操作操作
QOQ   查找操作查找
QPP   查找处理处理
QPQ   查找处理查找
QMM   查找管理管理
QMQ   查找管理查找
QVV   查找视觉视觉
QVQ   查找视觉查找
QEE   查找执行执行
QEQ   查找执行查找
QCC   查找控制控制
QCQ   查找控制查找
QSS   查找静态静态
QSQ   查找静态查找
QII   查找增加增加
QIQ   查找增加查找
QDD   查找删除删除
QDQ   查找删除查找
QUU   查找改变改变
QUQ   查找改变查找
QQA   查找查找分析
QQO   查找查找操作
QQP   查找查找处理
QQM   查找查找管理
QQV   查找查找视觉
QQE   查找查找执行
QQC   查找查找控制
QQS   查找查找静态
QQI   查找查找增加
QQD   查找查找删除
QQU   查找查找改变
QQQ   查找查找查找
	

